w and h;memory;operations
741;10562214;38575719
742;10592792;38399984
743;10623414;38690239
744;10654080;38665680
745;10684790;39246600
746;10715544;39012816
747;10746342;39216006
748;10777184;39145832
749;10808070;39539710
750;10839000;39487500
751;10869974;39937429
752;10900992;39755232
753;10932054;40249356
754;10963160;39989144
755;10994310;40315490
756;11025504;40374936
757;11056742;40965055
758;11088024;40689440
759;11119350;40866837
760;11150720;40895600
761;11182134;41369482
762;11213592;41181528
763;11245094;41555269
764;11276640;41570768
765;11308230;41838615
766;11339864;41728616
767;11371542;41977143
768;11403264;42058752
769;11435030;42613366
770;11466840;42331520
771;11498694;42882249
772;11530592;42551096
773;11562534;43072333
774;11594520;42998796
775;11626550;43230275
776;11658624;43255792
777;11690742;43681386
778;11722904;43577336
779;11755110;43846794
780;11787360;43832880
781;11819654;44462330
782;11851992;44251816
783;11884374;44475966
784;11916800;44283456
785;11949270;45051150
786;11981784;44748552
787;12014342;45122645
788;12046944;44955400
789;12079590;45434565
790;12112280;45257520
791;12145014;45754604
792;12177792;45684144
793;12210614;46295340
794;12243480;46093288
795;12276390;46285695
796;12309344;46217352
797;12342342;46642034
798;12375384;46560108
799;12408470;47129814
800;12441600;46974400
801;12474774;47458449
802;12507992;47164016
803;12541254;47464527
804;12574560;47616096
805;12607910;48092310
806;12641304;48044048
807;12674742;48072183
808;12708224;47980656
809;12741750;48654878
810;12775320;48489840
811;12808934;48986022
812;12842592;48741112
813;12876294;49300320
814;12910040;48931168
815;12943830;49378405
816;12977664;49461024
817;13011542;50095989
818;13045464;49912724
819;13079430;50082669
820;13113440;50169240
821;13147494;50667194
822;13181592;50367228
823;13215734;50855639
824;13249920;50667760
825;13284150;51241575
826;13318424;51088100
827;13352742;51413763
828;13387104;51509880
829;13421510;51940166
830;13455960;51664180
831;13490454;52131123
832;13524992;51876864
833;13559574;52459841
834;13594200;52460268
835;13628870;52761980
836;13663584;52684720
837;13698342;53148663
838;13733144;52953220
839;13767990;53321806
840;13802880;53177040
841;13837814;54129283
842;13872792;53830744
843;13907814;53984877
844;13942880;53923160
845;13977990;54461095
846;14013144;54539928
847;14048342;54765326
848;14083584;54779104
849;14118870;55225752
850;14154200;54974600
851;14189574;55554131
852;14224992;55451568
853;14260454;55955094
854;14295960;55752536
855;14331510;56146140
856;14367104;56117648
857;14402742;56554287
858;14438424;56442672
859;14474150;57042754
860;14509920;56725600
861;14545734;57305577
862;14581592;57097156
863;14617494;57303200
864;14653440;57537216
865;14689430;58233530
866;14725464;57947524
867;14761542;58238991
868;14797664;58110864
869;14833830;58760911
870;14870040;58754580
871;14906294;59244549
872;14942592;58898368
873;14978934;59456538
874;15015320;59260696
875;15051750;59641750
876;15088224;59816784
877;15124742;60359525
878;15161304;59958620
879;15197910;60244902
880;15234560;60220160
881;15271254;61034799
882;15307992;60766272
883;15344774;61362319
884;15381600;61114456
885;15418470;61613700
886;15455384;61468908
887;15492342;61869137
888;15529344;61831440
889;15566390;62609603
890;15603480;62428160
891;15640614;62504541
892;15677792;62588072
893;15715014;63060981
894;15752280;63073488
895;15789590;63361525
896;15826944;63388416
897;15864342;63930087
898;15901784;63601748
899;15939270;63890132
900;15976800;64096200
901;16014374;64840465
902;16051992;64491196
903;16089654;64835400
904;16127360;64739056
905;16165110;65449600
906;16202904;65210256
907;16240742;65725755
908;16278624;65515832
909;16316550;66064302
910;16354520;65851240
911;16392534;66580435
912;16430592;66251328
913;16468694;67180366
914;16506840;66886520
915;16545030;67112505
916;16583264;67034712
917;16621542;67596655
918;16659864;67649256
919;16698230;68047355
920;16736640;67989840
921;16775094;68709363
922;16813592;68231688
923;16852134;68637049
924;16890720;68754840
925;16929350;69616425
926;16968024;69268504
927;17006742;69416541
928;17045504;69277056
929;17084310;70197098
930;17123160;70019700
931;17162054;70650797
932;17200992;70692200
933;17239974;70929459
934;17279000;70735556
935;17318070;70968370
936;17357184;71332560
937;17396342;71931616
938;17435544;71591912
939;17474790;72181869
940;17514080;71889320
941;17553414;72586858
942;17592792;72496320
943;17632214;72843921
944;17671680;72808832
945;17711190;73469025
946;17750744;73354732
947;17790342;73708798
948;17829984;73763880
949;17869670;74492704
950;17909400;74255800
951;17949174;74699148
952;17988992;74122720
953;18028854;75126896
954;18068760;74868012
955;18108710;75422080
956;18148704;75296472
957;18188742;75682431
958;18228824;75808456
959;18268950;76072675
960;18309120;76325760
961;18349334;77007813
962;18389592;76602136
963;18429894;76905180
964;18470240;77035168
965;18510630;77575385
966;18551064;77413308
967;18591542;78076547
968;18632064;77776864
969;18672630;78521946
970;18713240;78484640
971;18753894;78823838
972;18794592;78732000
973;18835334;79483397
974;18876120;79242692
975;18916950;79521000
976;18957824;79497152
977;18998742;80292791
978;19039704;80076684
979;19080710;80726382
980;19121760;80593240
981;19162854;81227781
982;19203992;80767536
983;19245174;81279355
984;19286400;81412224
985;19327670;82207115
986;19368984;81970124
987;19410342;82149984
988;19451744;82197648
989;19493190;82691279
990;19534680;82659060
991;19576214;83485804
992;19617792;83032384
993;19659414;83803242
994;19701080;83346900
995;19742790;84100385
996;19784544;84092280
997;19826342;84890562
998;19868184;84538584
999;19910070;84694221
1000;19952000;84890000
1001;19993974;85638553
1002;20035992;85801260
1003;20078054;85996217
1004;20120160;85896216
